User,Date,Tweet
@BorisJohnson,4/7/22,"I salute the Polish people for all they are doing to support Ukraine. 
 
The UK stands with you and shares your determination to help Ukraine diplomatically, politically, economically and militarily."
@BorisJohnson,4/8/22,"Looking forward to welcoming @BundesKanzler Scholz to the UK today.
 
I welcome his principled determination to end dependence on Russian energy. How we respond to Russia’s invasion will define the international order for years to come. We cannot let Putin’s crimes go unpunished."
@BorisJohnson,4/8/22,We stand with Ukraine.
@BorisJohnson,4/9/22,"The Ukrainians have the courage of a lion.
 
President @ZelenskyyUa has given the roar of that lion.
 
The UK stands unwaveringly with the people of Ukraine.
 
Slava Ukraini"
@BorisJohnson,4/9/22,"Britain and Germany are horrified by Putin’s invasion and have agreed that our two countries must go further to help Ukraine.
 
The UK will send more defensive weapons to Ukraine and will work with G7 partners to target every pillar of the Russian economy to ensure Putin fails"
@BorisJohnson,4/9/22,"Today I met my friend President @ZelenskyyUa in Kyiv as a show of our unwavering support for the people of Ukraine.
 
We're setting out a new package of financial & military aid which is a testament of our commitment to his country's struggle against Russia’s barbaric campaign."
@BorisJohnson,4/12/22,"I've just spoken to @POTUS and updated him on my meeting with President @ZelenskyyUa in Kyiv this weekend.
 
Our joint focus remains on supporting President Zelenskyy and the Ukrainian people in their fight for freedom. 
 
Putin's barbaric venture cannot be allowed to succeed."
@BorisJohnson,4/16/22,"I updated my friend @ZelenskyyUa this afternoon on further military aid we will provide to Ukraine in the coming days.
 
The UK will stop at nothing to ensure Ukrainians have the resources they need to defend their country from the ongoing Russian onslaught."
@BorisJohnson,4/19/22,"This afternoon I spoke to @POTUS and other foreign leaders about the situation in Ukraine.
 
I updated them on my visit to Kyiv earlier this month and we agreed to work together to find a long-term security solution so that Ukraine could never again be attacked in this way."
@BorisJohnson,4/22/22,"Putin continues his brutal assault in the Donbas, but the fact we are able to reopen our embassy in Kyiv is a testament to the courage of Ukrainians successfully resisting Russian aggression. Our commitment to Ukraine remains unflinching."
@BorisJohnson,4/23/22,"Today I spoke with President @ZelenskyyUa to update him on the latest steps the UK is taking to support Ukraine.
 
We are providing further military aid, including protected mobility vehicles.
 
We have issued new sanctions against members of the Russian military."
@BorisJohnson,4/23/22,"We will be reopening our embassy in Kyiv, demonstrating our solidarity with the Ukrainian people.
 
And the UK government is helping to collect evidence of war crimes.
 
Russia must be held to account for its actions."
@BorisJohnson,4/26/22,"We are sending new ambulances, fire engines and funding for health experts to help the Ukrainian people deliver vital healthcare and save lives.
 
The UK is helping to strengthen Ukraine’s capability to make sure Putin’s brutal invasion fails."
@BorisJohnson,4/28/22,"Good discussions with Swiss President @IgnazioCassis today.
 
I welcome Switzerland’s principled stance in supporting sanctions on the Putin regime. The world must continue to support Ukraine as it defends itself from sustained Russian aggression."
@BorisJohnson,4/30/22,I spoke to President @ZelenskyyUa earlier to set out how the UK will continue to provide military and humanitarian aid to give Ukrainians the equipment they need to defend themselves. I'm more committed than ever to reinforcing Ukraine and ensuring Putin fails. 
@BorisJohnson,5/3/22,"This is Ukraine’s finest hour, an epic chapter in your national story.
 
Your children and grandchildren will say that Ukrainians taught the world that the brute force of an aggressor counts for nothing against the moral force of a people determined to be free."
@BorisJohnson,5/3/22,I have one message for you today: Ukraine will win. Ukraine will be free.
@BorisJohnson,5/5/22,"I spoke to President @ZelenskyyUa and thanked him for the opportunity to address Ukrainian parliamentarians striving to uphold democracy and freedom earlier this week.

We will offer further military and humanitarian support to Ukraine. This conflict is about right versus wrong."
@BorisJohnson,5/5/22,"I was honoured to speak at the Brave Ukraine Fundraiser this evening alongside @ZelenskyyUa.

Our support for Ukraine is unwavering, and we must do everything we can to help Ukraine defend itself and ease the burden of suffering on innocent Ukrainians. 

Slava Ukraini"
@BorisJohnson,5/6/22,"We are united in our condemnation of Putin’s deadly folly. 

Our countries will be coordinating closely on longer-term security & economic support for Ukraine, and measures to isolate Russia."
@BorisJohnson,5/8/22,"On VE Day, as we remember those who sacrificed their lives in WW2, we also think of those who've died and suffered in Russia’s illegal invasion of Ukraine.   

Our respect for those who fought strengthens our determination to support Ukrainians today. "
@BorisJohnson,5/8/22,"This afternoon I spoke to G7 and European leaders, as well as @ZelenskyyUa.
We agreed to intensify our economic and military support for Ukraine. 
We also agreed more must be done to underpin food security and ensure agricultural exports can leave the country."
@BorisJohnson,5/9/22,"I have never been more certain that Ukraine will win.
 
Britain will stand shoulder-to-shoulder with Ukraine for as long as it takes.
 
Slava Ukraini"
@BorisJohnson,5/12/22,"The UK has a long history of providing refuge for those in need. 
 
I'm proud that over 100,000 visas have now been issued through our schemes to Ukrainians forced to flee their homes, helping them find safety here in the UK."
@BorisJohnson,5/14/22,Heartwarming to hear the very talented Melisa Kogut sing the Ukrainian National Anthem yesterday.
@BorisJohnson,5/15/22,"Congratulations to Ukraine for winning the @Eurovision Song Contest 2022.

It is a clear reflection of not just your talent, but of the unwavering support for your fight for freedom.

Incredibly proud of @SamRyderMusic and how he brilliantly represented the UK tonight."
@BorisJohnson,5/18/22,"This is an historic day for our alliance & the world. Not long ago nobody would have predicted this step, but Putin’s appalling ambitions have transformed the geopolitical contours of our continent. 

I look forward to welcoming Finland & Sweden into the @NATO family very soon."
@BorisJohnson,5/19/22,"We also discussed how we can stem the global economic damage caused by Putin's reckless blockade of Black Sea ports. 

We're looking urgently at options to open up critical sea and land supply routes for Ukrainian grain stocks
50,000 Ukrainians have now safely arrived in the UK & we're doing everything possible to help them build lives here.

With over 100,000 visas issued through our schemes and fresh sanctions imposed on Russian airlines today, our resolve is unflinching – we #StandWithUkraine. "
@BorisJohnson,5/19/22,"Reaffirmed British solidarity with the Ukrainian people to my friend @ZelenskyyUa this morning, particularly for the brave defenders of Mariupol.  
The President and I had a wide ranging discussion"
@BorisJohnson,5/23/22,To all the children of Ukraine: You are not alone. We stand with you.
@BorisJohnson,5/24/22,Thank you to schools up and down the country for welcoming Ukrainian children into their classrooms as they flee the devastating war in Ukraine.
@BorisJohnson,5/28/22,"I told President @ZelenskyyUa this morning that we stand with Ukraine for the long-term. We'll continue to provide equipment to help the Ukrainian Armed Forces defend their country, and we're working intensively to find ways to resume grain exports & avert a global food crisis."
